Adult Mortality,BMI,HIV/AIDS,GDP,Income composition of resources,Schooling,Diphtheria,thinness  1-19 years,Life expectancy
183.0,43.7,0.1,3739.11936,0.677,14.1,98.0,3.4,75.0
78.0,41.2,0.1,3967.8951,0.864,14.9,99.0,5.7,77.7
8.0,4.2,0.1,4159.8652,0.863,15.0,99.0,5.7,77.6
84.0,39.2,0.1,44597.27968,0.86,14.9,99.0,5.8,77.1
79.0,38.2,0.1,47651.2599,0.852,14.4,99.0,5.8,78.3
79.0,37.2,0.1,4717.273,0.846,14.1,97.0,5.9,77.4
79.0,36.2,0.1,35268.1117,0.845,14.2,95.0,5.9,76.9
88.0,35.2,0.1,27965.4754,0.841,14.1,99.0,6.0,76.8
84.0,34.2,0.1,37951.286,0.84,14.2,98.0,6.1,77.2
1.0,33.2,0.1,32672.36717,0.84,14.3,99.0,6.2,76.0
93.0,32.2,0.1,398.96692,0.837,14.3,97.0,6.3,76.3
92.0,31.2,0.1,2612.13345,0.834,14.1,94.0,6.4,76.2
89.0,3.1,0.1,21896.6527,0.828,13.7,92.0,6.5,76.4
89.0,29.1,0.1,18555.56649,0.823,13.4,92.0,6.6,76.0
95.0,28.0,0.1,16846.2198,0.82,13.3,94.0,6.7,74.8
19.0,27.0,0.1,16468.12886,0.819,13.4,97.0,6.8,74.7
16.0,26.1,0.1,188.44826,0.818,13.4,99.0,6.8,74.4
137.0,65.7,0.1,6993.47736,0.792,15.0,91.0,1.9,74.5
138.0,65.1,0.1,7853.335191,0.787,14.8,88.0,1.9,74.3
14.0,64.5,0.1,7674.86559,0.781,14.4,95.0,1.9,74.1
139.0,63.9,0.1,7378.25539,0.778,14.3,95.0,1.9,73.9
144.0,63.3,0.1,7813.83499,0.775,14.2,95.0,2.0,73.7
147.0,62.7,0.1,6843.263289,0.77,13.9,94.0,2.0,73.4
152.0,62.1,0.1,6955.987733,0.768,13.8,94.0,2.0,73.2
155.0,61.5,0.1,7296.122479,0.761,13.8,95.0,2.1,72.9
157.0,6.9,0.1,5932.899677,0.755,13.5,95.0,2.1,72.6
161.0,6.3,0.1,4513.13628,0.75,13.5,95.0,2.2,72.2
16.0,59.7,0.1,3893.68998,0.745,13.5,96.0,2.2,72.1
157.0,59.1,0.1,3381.57837,0.738,13.3,95.0,2.3,72.2
155.0,58.6,0.1,271.46824,0.729,12.9,96.0,2.3,72.0
157.0,58.1,0.1,287.534843,0.723,12.9,93.0,2.4,71.8
16.0,57.5,0.1,1764.97387,0.713,12.9,94.0,2.4,71.6
163.0,57.0,0.1,169.28586,0.709,12.9,93.0,2.5,71.1
26.0,19.4,0.6,615.592225,0.399,7.7,91.0,8.0,59.9
268.0,18.8,0.6,75.1464113,0.398,7.7,91.0,8.2,59.3
27.0,18.2,0.7,699.452847,0.392,7.5,88.0,8.4,59.0
271.0,17.7,0.8,673.8227,0.384,7.2,9.0,8.6,58.6
275.0,17.1,0.9,666.842783,0.377,6.7,91.0,8.8,58.1
279.0,16.6,1.0,575.4464527,0.365,6.3,91.0,9.0,57.5
283.0,16.1,1.1,552.7455521,0.356,5.9,92.0,9.3,56.9
288.0,15.6,1.5,569.7612784,0.345,5.4,93.0,9.5,56.1
293.0,15.1,1.7,475.11122,0.334,4.9,89.0,9.8,55.3
32.0,14.6,2.0,422.6332374,0.325,4.7,86.0,1.0,54.3
313.0,14.2,2.3,46.998871,0.0,4.3,82.0,1.3,53.3
323.0,13.7,2.5,371.323865,0.0,3.9,79.0,1.5,52.4
332.0,13.3,2.9,332.344351,0.0,3.8,79.0,1.7,51.6
338.0,12.9,3.2,26.7635413,0.0,3.6,69.0,11.0,51.0
344.0,12.5,3.6,235.4912324,0.0,3.5,62.0,11.2,56.0
348.0,12.2,4.0,226.4759814,0.0,3.4,45.0,11.4,51.0
288.0,18.7,0.7,33.681223,0.406,10.6,94.0,7.3,59.6
297.0,18.2,0.7,312.7489794,0.404,10.6,95.0,7.4,59.1
33.0,17.6,1.0,282.7555252,0.398,10.5,96.0,7.4,58.6
312.0,17.1,1.2,265.285651,0.393,10.3,96.0,7.5,58.0
321.0,16.6,1.5,26.479973,0.385,9.9,96.0,7.6,57.4
33.0,16.1,1.9,231.1943256,0.361,9.3,96.0,7.7,56.8
338.0,15.7,2.4,24.944652,0.336,8.6,94.0,7.8,56.2
35.0,15.2,2.9,196.2472628,0.319,7.9,92.0,7.9,55.3
355.0,14.8,3.4,17.79995,0.309,7.2,99.0,8.0,54.8
361.0,14.5,3.8,165.8794176,0.29,5.9,92.0,8.1,54.1
369.0,14.1,4.3,15.57434,0.286,5.6,87.0,8.2,53.4
378.0,13.8,4.8,127.4296648,0.279,5.2,83.0,8.4,52.6
387.0,13.5,5.1,112.849373,0.276,4.7,82.0,8.5,51.9
387.0,13.3,5.2,122.4335893,0.268,4.4,81.0,8.7,51.5
385.0,13.0,5.3,133.7427689,0.268,4.5,81.0,8.8,51.3
386.0,12.8,5.2,135.9984455,0.268,4.5,8.0,9.0,58.0
397.0,28.0,1.9,1764.97387,0.677,12.3,83.0,5.5,53.3
47.0,27.4,2.0,1764.97387,0.677,12.3,76.0,5.6,52.8
412.0,26.8,2.4,1764.97387,0.677,12.3,8.0,5.8,52.3
415.0,26.2,2.9,1764.97387,0.677,12.3,82.0,5.9,52.0
419.0,25.6,3.3,1764.97387,0.677,12.3,62.0,6.1,51.7
417.0,25.0,3.3,1764.97387,0.677,12.3,85.0,6.3,51.5
426.0,24.4,3.7,1764.97387,0.677,12.3,81.0,6.5,51.0
437.0,23.8,4.1,1764.97387,0.677,12.3,74.0,6.6,54.0
443.0,23.2,5.3,1764.97387,0.677,12.3,76.0,6.8,49.9
452.0,22.6,5.8,1764.97387,0.677,12.3,77.0,7.0,49.4
466.0,22.1,6.1,1764.97387,0.677,12.3,76.0,7.2,48.7
472.0,21.5,6.5,1764.97387,0.677,12.3,67.0,7.3,48.2
473.0,2.9,6.7,1764.97387,0.677,12.3,61.0,7.5,48.0
473.0,2.4,6.9,1764.97387,0.677,12.3,64.0,7.7,47.7
467.0,19.9,7.0,1764.97387,0.677,12.3,66.0,7.9,47.8
461.0,19.4,7.1,1764.97387,0.677,12.3,65.0,8.1,47.9
114.0,31.3,0.2,2954.119467,0.646,13.5,93.0,6.6,73.3
117.0,3.5,0.2,3529.61843,0.643,13.5,95.0,6.8,73.0
12.0,29.7,0.2,3558.796314,0.643,13.6,93.0,6.9,72.8
121.0,29.0,0.3,348.482762,0.636,13.2,94.0,7.1,72.7
122.0,28.2,0.3,367.429453,0.632,13.1,9.0,7.3,72.6
123.0,27.5,0.4,3312.825985,0.627,12.7,99.0,7.4,72.5
124.0,26.8,0.4,3444.5566,0.621,12.4,99.0,7.6,72.4
124.0,26.2,0.4,3638.95946,0.615,12.2,99.0,7.8,72.4
126.0,25.5,0.6,3112.285712,0.602,11.9,98.0,8.1,72.3
129.0,24.9,0.6,234.28992,0.596,11.9,96.0,8.3,72.1
134.0,24.3,0.8,248.13459,0.582,11.2,95.0,8.5,71.8
14.0,23.7,0.8,1976.45856,0.574,11.1,93.0,8.7,71.4
144.0,23.2,0.9,1768.92132,0.572,11.3,92.0,8.9,71.1
148.0,22.6,0.8,1373.515636,0.569,11.3,91.0,9.2,77.0
152.0,22.1,0.8,1268.884564,0.562,11.0,9.0,9.4,73.0
155.0,21.5,0.8,1239.377855,0.0,11.3,9.0,9.6,69.9
174.0,19.6,0.2,1163.18977,0.558,10.9,89.0,1.9,68.7
179.0,18.9,0.2,198.687123,0.553,10.9,88.0,1.9,68.3
183.0,18.2,0.2,128.419568,0.546,10.8,83.0,11.0,67.8
186.0,17.6,0.3,95.244132,0.54,10.7,86.0,11.0,67.4
19.0,17.0,0.3,882.491462,0.533,10.7,88.0,11.0,67.0
192.0,16.4,0.5,785.6928841,0.519,10.6,89.0,11.0,66.6
195.0,15.9,0.6,738.2326684,0.52,10.5,94.0,11.1,66.1
199.0,15.3,0.7,745.7877873,0.511,10.5,91.0,11.2,65.6
24.0,14.8,0.9,631.675789,0.495,10.3,82.0,11.3,65.0
216.0,14.3,1.1,539.8791529,0.483,10.1,8.0,11.4,64.1
234.0,13.9,1.4,474.2238766,0.47,10.0,82.0,11.5,62.9
253.0,13.5,1.7,48.615184,0.458,9.7,85.0,11.6,61.5
268.0,13.1,1.9,362.4213785,0.445,9.3,69.0,11.6,63.0
273.0,12.8,2.1,339.676984,0.427,8.2,54.0,11.6,59.3
273.0,12.4,2.2,321.22634,0.412,7.6,6.0,11.6,58.5
274.0,12.1,2.1,3.685949,0.401,7.2,59.0,11.6,57.7
357.0,29.0,3.5,1244.429421,0.514,10.4,84.0,5.6,57.3
366.0,28.4,3.7,1441.1417,0.507,10.4,87.0,5.7,56.7
364.0,27.8,4.0,1365.34419,0.501,10.4,89.0,5.8,56.4
369.0,27.2,4.6,1255.648189,0.496,10.4,85.0,5.9,55.9
371.0,26.6,4.9,1295.649726,0.486,10.0,82.0,6.0,55.6
37.0,26.0,5.5,1182.869227,0.48,9.7,84.0,6.1,55.3
373.0,25.4,6.3,123.19538,0.473,9.2,8.0,6.3,54.8
382.0,24.9,6.7,1233.524316,0.466,8.8,84.0,6.4,54.2
395.0,24.4,7.0,111.71186,0.456,8.0,82.0,6.6,53.6
394.0,23.8,7.2,12.989164,0.456,8.2,81.0,6.7,53.3
4.0,23.3,7.4,952.1872484,0.456,8.3,8.0,6.9,52.8
412.0,22.8,7.5,93.211716,0.455,8.2,73.0,7.0,52.1
412.0,22.3,7.7,824.8689393,0.452,8.1,73.0,7.2,51.8
47.0,21.8,7.8,676.397661,0.452,8.4,66.0,7.4,51.6
41.0,21.3,7.9,614.6729339,0.437,7.1,63.0,7.5,51.5
394.0,2.9,7.7,68.414399,0.433,6.9,62.0,7.7,51.4
64.0,67.0,0.1,43315.744,0.919,16.3,91.0,0.6,82.2
65.0,66.4,0.1,544.43376,0.912,15.9,91.0,0.5,82.0
67.0,65.8,0.1,52413.72116,0.909,15.9,91.0,0.5,81.8
68.0,65.3,0.1,52496.69487,0.907,15.9,95.0,0.5,81.6
68.0,64.7,0.1,5282.2176,0.903,15.9,87.0,0.5,81.5
7.0,64.1,0.1,47447.4762,0.898,15.9,89.0,0.5,81.2
72.0,63.6,0.1,4773.45436,0.898,15.9,91.0,0.5,81.0
74.0,63.0,0.1,46596.33599,0.897,15.8,92.0,0.5,87.0
74.0,62.5,0.1,44544.5268,0.894,15.8,94.0,0.5,85.0
75.0,61.9,0.1,4386.69948,0.891,15.8,95.0,0.5,85.0
76.0,61.3,0.1,36189.58838,0.886,15.8,93.0,0.5,81.0
77.0,6.6,0.1,31979.87195,0.881,15.8,91.0,0.5,80.0
78.0,6.0,0.1,28172.14883,0.877,15.8,91.0,0.5,79.7
79.0,59.3,0.1,24167.8431,0.872,15.8,88.0,0.5,79.5
8.0,58.5,0.1,23691.59472,0.867,15.8,89.0,0.5,79.4
82.0,57.8,0.1,24124.16917,0.864,15.9,89.0,0.5,79.1
397.0,22.7,4.4,348.381417,0.347,7.1,47.0,8.2,52.5
437.0,22.1,4.5,377.132274,0.345,7.1,47.0,8.4,58.0
451.0,21.6,5.1,337.4849614,0.37,7.1,23.0,8.5,49.9
439.0,21.2,5.1,486.41114,0.366,7.1,47.0,8.7,53.0
443.0,2.7,5.8,494.336779,0.361,6.8,47.0,8.8,49.8
446.0,2.2,6.6,446.4434494,0.352,6.6,45.0,9.0,49.2
453.0,19.8,7.3,449.961839,0.345,6.4,42.0,9.1,48.6
477.0,19.4,8.3,456.8614334,0.338,6.3,45.0,9.3,47.6
495.0,19.0,9.0,397.148467,0.33,6.2,48.0,9.4,46.8
56.0,18.6,10.0,347.673678,0.323,6.0,51.0,9.6,46.3
511.0,18.2,11.2,327.1149461,0.319,5.9,54.0,9.7,45.9
512.0,17.9,12.0,313.21598,0.315,5.7,51.0,9.9,45.7
51.0,17.5,12.8,286.25819,0.316,5.6,47.0,1.0,45.7
58.0,17.2,13.4,253.768343,0.315,5.4,44.0,1.2,45.6
54.0,16.8,13.9,243.1586486,0.314,5.3,4.0,1.4,45.6
49.0,16.5,14.3,243.5429317,0.312,5.2,37.0,1.5,46.0
356.0,19.1,2.8,777.248751,0.394,7.3,46.0,8.5,53.1
362.0,18.7,2.9,125.998515,0.39,7.3,37.0,8.7,52.6
366.0,18.2,3.1,986.13177,0.387,7.3,39.0,8.8,52.2
367.0,17.9,3.6,973.472574,0.381,7.3,4.0,9.0,51.8
365.0,17.5,3.9,989.2363633,0.37,6.7,33.0,9.2,51.6
364.0,17.1,4.1,896.5697341,0.36,6.7,39.0,9.4,51.2
37.0,16.7,4.4,84.455939,0.343,6.3,24.0,9.6,57.0
394.0,16.4,4.7,929.772391,0.338,6.0,19.0,9.8,49.6
394.0,16.1,4.9,81.683884,0.306,5.7,28.0,1.0,49.4
414.0,15.7,5.1,712.1847694,0.303,5.5,4.0,1.3,48.5
46.0,15.4,5.2,66.2421396,0.306,5.6,25.0,1.5,48.6
45.0,15.1,5.2,454.6765879,0.301,5.6,21.0,1.7,48.5
43.0,14.8,5.1,292.5914364,0.284,5.4,23.0,1.9,48.4
43.0,14.4,5.0,22.854821,0.303,5.1,25.0,11.1,48.1
4.0,14.1,4.8,197.3156442,0.3,4.9,26.0,11.3,48.0
44.0,13.9,4.6,166.231785,0.0,4.7,36.0,11.5,47.6
82.0,63.8,0.1,13653.2264,0.845,16.3,96.0,0.8,85.0
83.0,63.1,0.1,14817.37778,0.841,16.2,95.0,0.8,83.0
84.0,62.5,0.1,15941.39722,0.831,15.6,91.0,0.8,81.0
84.0,61.8,0.1,15431.9293,0.826,15.5,9.0,0.8,79.9
86.0,61.2,0.1,1475.69242,0.82,15.4,94.0,0.8,79.8
89.0,6.6,0.1,1286.17764,0.815,15.2,92.0,0.8,79.1
91.0,59.9,0.1,1243.32824,0.816,15.3,94.0,0.8,79.3
88.0,59.3,0.1,1781.3668,0.804,15.2,95.0,0.9,79.6
9.0,58.7,0.1,1526.87746,0.797,14.8,96.0,0.9,78.9
91.0,58.1,0.1,9484.681227,0.796,14.9,94.0,0.9,78.9
93.0,57.4,0.1,7615.3468,0.79,14.6,91.0,0.9,78.4
97.0,56.8,0.1,621.828325,0.781,14.3,93.0,0.9,78.0
1.0,56.1,0.1,4787.699532,0.775,14.0,96.0,1.0,77.9
11.0,55.4,0.1,4463.545867,0.768,13.9,97.0,1.0,77.8
16.0,54.7,0.1,4595.666327,0.761,13.7,97.0,1.0,77.3
13.0,54.0,0.1,511.368479,0.755,13.5,91.0,1.1,77.3
85.0,32.9,0.1,869.211938,0.734,13.5,99.0,3.6,76.1
86.0,31.9,0.1,7683.5238,0.723,13.1,99.0,3.7,75.8
88.0,3.9,0.1,777.77594,0.713,12.7,99.0,3.8,75.6
89.0,3.0,0.1,6337.882993,0.703,12.4,99.0,3.9,75.4
91.0,29.0,0.1,5633.79616,0.7,12.8,99.0,4.1,75.2
92.0,28.1,0.1,456.512487,0.691,12.5,99.0,4.2,75.0
93.0,27.3,0.1,3838.434292,0.682,12.2,99.0,4.4,74.9
97.0,26.5,0.1,3471.247547,0.672,11.9,97.0,4.5,74.5
96.0,25.7,0.1,2695.366223,0.659,11.4,93.0,4.7,74.4
98.0,24.9,0.1,299.229676,0.646,11.0,93.0,4.8,74.2
99.0,24.1,0.1,1753.4178,0.634,10.6,87.0,5.0,73.9
11.0,23.4,0.1,158.668462,0.622,10.2,87.0,5.1,73.5
13.0,22.6,0.1,1288.642924,0.61,9.9,86.0,5.3,73.1
16.0,21.9,0.1,1148.5857,0.6,9.7,86.0,5.5,72.7
11.0,21.2,0.1,153.1824,0.592,9.6,86.0,5.7,72.2
115.0,2.5,0.1,959.372181,0.583,9.5,85.0,5.9,71.7
143.0,57.9,0.1,644.525556,0.724,13.6,91.0,2.1,74.8
144.0,57.2,0.1,7913.383432,0.72,13.6,9.0,2.1,74.6
145.0,56.4,0.1,83.5863,0.712,13.3,91.0,2.1,74.4
143.0,55.7,0.1,7884.984429,0.707,13.2,91.0,2.1,74.3
144.0,55.0,0.1,7227.73968,0.7,13.0,85.0,2.2,74.2
15.0,54.2,0.1,625.65544,0.695,12.8,88.0,2.2,73.6
15.0,53.5,0.1,5148.422113,0.691,12.4,92.0,2.2,73.6
146.0,52.8,0.1,5433.7245,0.683,12.2,92.0,2.3,73.5
144.0,52.0,0.1,4674.21961,0.675,11.9,93.0,2.3,73.5
147.0,51.3,0.1,379.78776,0.669,11.5,93.0,2.3,73.1
144.0,5.5,0.1,3386.256,0.658,11.1,93.0,2.4,73.1
148.0,49.8,0.1,274.249442,0.658,11.3,89.0,2.4,72.8
15.0,49.0,0.1,2246.257472,0.659,11.6,92.0,2.5,72.4
163.0,48.2,0.1,2355.725857,0.656,11.5,81.0,2.5,71.8
165.0,47.5,0.1,2395.856551,0.653,11.4,8.0,2.5,71.5
167.0,46.7,0.1,2472.197831,0.65,11.3,79.0,2.6,71.4
227.0,24.2,0.8,727.6463868,0.498,11.1,91.0,6.7,63.5
23.0,23.7,0.8,852.954379,0.497,11.1,87.0,6.8,63.2
233.0,23.2,0.8,834.341949,0.49,10.9,87.0,6.8,62.9
237.0,22.6,0.8,788.632653,0.484,10.8,86.0,6.9,62.5
241.0,22.1,0.2,829.7586885,0.479,10.6,83.0,7.0,62.2
246.0,21.6,0.1,769.1742883,0.476,10.5,74.0,7.1,61.8
251.0,21.1,0.1,778.5454199,0.465,10.3,83.0,7.2,61.3
255.0,2.6,0.1,795.97519,0.461,10.2,81.0,7.2,61.0
259.0,2.1,0.1,72.759313,0.459,10.0,75.0,7.3,66.0
262.0,19.6,0.1,648.38717,0.451,9.9,69.0,7.4,63.0
266.0,19.2,0.1,621.93372,0.434,9.7,68.0,7.5,60.0
269.0,18.8,0.1,616.4197236,0.0,9.5,76.0,7.5,59.8
271.0,18.4,0.1,544.566526,0.0,9.2,8.0,7.6,59.6
271.0,18.0,0.1,433.2691451,0.0,8.8,89.0,7.7,59.5
272.0,17.6,0.1,395.9319363,0.0,8.5,7.0,7.8,59.5
272.0,17.3,0.1,375.8528566,0.0,8.2,7.0,7.9,59.5
267.0,27.4,2.8,1764.97387,0.59,11.1,8.0,7.5,64.7
275.0,26.8,3.0,1764.97387,0.581,11.1,9.0,7.6,64.2
274.0,26.2,3.0,1764.97387,0.576,11.1,85.0,7.7,63.9
273.0,25.6,3.3,1764.97387,0.557,10.2,85.0,7.9,63.7
285.0,25.0,3.5,1764.97387,0.558,10.7,82.0,8.0,62.9
298.0,24.5,3.8,1764.97387,0.548,10.5,74.0,8.1,62.0
314.0,23.9,4.0,1764.97387,0.545,10.3,78.0,8.3,68.0
338.0,23.3,4.3,1764.97387,0.527,10.0,79.0,8.4,59.4
354.0,22.8,5.0,1764.97387,0.517,9.8,72.0,8.5,58.2
368.0,22.3,5.5,1764.97387,0.507,9.6,73.0,8.7,56.9
394.0,21.7,5.9,1764.97387,0.496,9.4,62.0,8.8,55.3
48.0,21.2,6.3,1764.97387,0.497,9.2,67.0,9.0,54.1
417.0,2.7,6.8,1764.97387,0.492,9.4,5.0,9.1,53.2
424.0,2.3,7.2,1764.97387,0.488,9.5,41.0,9.3,52.6
419.0,19.8,7.6,1764.97387,0.487,9.7,31.0,9.4,52.7
416.0,19.3,7.8,1764.97387,0.487,9.8,33.0,9.5,52.9
95.0,6.5,0.1,1146.36273,0.775,14.2,92.0,1.7,79.6
96.0,59.5,0.1,1647.44179,0.768,13.9,91.0,1.7,79.5
96.0,58.5,0.1,1569.66631,0.762,13.7,95.0,1.7,79.4
97.0,57.5,0.1,9985.36959,0.758,13.6,91.0,1.8,79.2
98.0,56.5,0.1,9186.59639,0.752,13.4,85.0,1.8,79.0
16.0,55.5,0.1,8199.414621,0.749,13.3,88.0,1.8,78.1
96.0,54.4,0.1,689.396224,0.747,13.1,86.0,1.9,79.2
99.0,53.4,0.1,6911.136136,0.74,12.9,9.0,1.9,78.9
93.0,52.4,0.1,612.623418,0.734,12.8,89.0,1.9,78.9
16.0,51.4,0.1,5245.187372,0.727,12.6,89.0,2.0,78.0
97.0,5.3,0.1,4697.11135,0.723,12.4,91.0,2.0,78.6
12.0,49.3,0.1,4425.57467,0.719,12.2,9.0,2.1,77.7
1.0,48.3,0.1,4167.71417,0.715,12.1,88.0,2.2,78.0
99.0,47.3,0.1,462.14965,0.712,11.9,94.0,2.2,78.3
1.0,46.4,0.1,3981.52847,0.708,11.7,91.0,2.3,77.5
98.0,45.4,0.1,388.363689,0.702,11.6,88.0,2.4,77.6
95.0,63.7,0.1,11579.6674,0.823,15.3,94.0,1.5,78.0
97.0,63.1,0.1,13467.46827,0.82,15.1,95.0,1.5,77.8
97.0,62.5,0.1,13574.749,0.817,14.9,96.0,1.5,77.7
14.0,61.9,0.1,13235.97757,0.815,14.6,96.0,1.5,77.1
14.0,61.3,0.1,14539.18421,0.808,14.5,96.0,1.6,77.0
16.0,6.6,0.1,1355.74586,0.803,14.2,97.0,1.6,76.6
19.0,6.0,0.1,14157.14416,0.803,14.2,96.0,1.7,76.3
116.0,59.4,0.1,15893.8656,0.8,14.3,96.0,1.7,76.0
114.0,58.7,0.1,13546.69872,0.793,14.3,96.0,1.8,75.8
113.0,58.1,0.1,11363.41845,0.783,13.9,96.0,1.8,75.9
116.0,57.5,0.1,1224.2459,0.777,13.6,96.0,1.8,75.2
114.0,56.9,0.1,9365.742468,0.771,13.3,96.0,1.9,75.4
122.0,56.3,0.1,785.881418,0.765,12.9,94.0,1.9,74.7
124.0,55.8,0.1,653.71637,0.759,12.6,95.0,2.0,74.8
126.0,55.2,0.1,5245.421419,0.749,12.3,94.0,2.0,74.9
127.0,54.7,0.1,4919.62869,0.739,12.2,93.0,2.1,74.7
92.0,61.4,0.1,762.261218,0.773,13.9,99.0,3.5,79.1
93.0,6.7,0.1,75.5199,0.772,14.0,99.0,3.4,79.0
96.0,59.9,0.1,676.15344,0.773,14.7,99.0,3.4,78.7
96.0,59.2,0.1,6425.941119,0.778,15.7,99.0,3.4,78.7
92.0,58.4,0.1,675.92436,0.78,16.5,97.0,3.4,78.8
98.0,57.7,0.1,5676.14143,0.784,17.6,96.0,3.4,78.0
11.0,56.9,0.1,5484.7763,0.782,17.7,96.0,3.4,78.1
12.0,56.2,0.1,5376.447622,0.771,17.1,95.0,3.4,77.9
14.0,55.4,0.1,5184.494227,0.754,16.0,93.0,3.4,78.1
14.0,54.6,0.1,4669.6916,0.732,14.7,89.0,3.4,78.0
19.0,53.8,0.1,3779.577,0.719,14.2,89.0,3.4,77.2
17.0,53.0,0.1,339.716256,0.705,13.2,88.0,3.4,77.3
18.0,52.1,0.1,3192.669378,0.694,12.9,72.0,3.5,77.4
19.0,51.3,0.1,2994.339988,0.692,12.5,99.0,3.5,77.7
115.0,5.4,0.1,2832.188893,0.686,12.3,98.0,3.6,76.7
115.0,49.4,0.1,2741.11542,0.679,12.1,95.0,3.6,76.9
52.0,6.3,0.1,2375.1127,0.854,14.3,97.0,1.0,85.0
53.0,59.8,0.1,2734.88382,0.85,14.0,99.0,0.9,83.0
54.0,59.2,0.1,2797.96736,0.85,13.8,99.0,0.9,81.0
56.0,58.7,0.1,28951.15556,0.85,13.8,99.0,0.9,80.0
57.0,58.3,0.1,32233.83942,0.847,13.8,99.0,0.9,79.7
59.0,57.8,0.1,3818.46396,0.853,14.6,99.0,0.9,79.5
6.0,57.3,0.1,3215.8159,0.849,14.1,99.0,0.9,79.3
62.0,56.8,0.1,3539.7488,0.844,13.7,97.0,0.9,79.1
63.0,56.3,0.1,31386.63265,0.836,13.5,97.0,0.9,78.9
64.0,55.8,0.1,27169.99256,0.829,13.4,97.0,0.9,78.8
65.0,55.3,0.1,25324.48666,0.826,13.5,98.0,0.9,78.7
65.0,54.8,0.1,23932.49128,0.823,13.4,98.0,0.9,78.6
66.0,54.3,0.1,2293.4789,0.815,13.0,98.0,0.9,78.5
68.0,53.8,0.1,16372.29152,0.805,12.5,98.0,0.9,78.4
69.0,53.3,0.1,1562.92433,0.8,12.4,97.0,0.9,78.2
7.0,52.8,0.1,14672.8826,0.798,12.5,97.0,0.9,78.1
86.0,66.1,0.1,1764.97387,0.677,12.3,97.0,1.8,78.8
88.0,65.6,0.1,1764.97387,0.677,12.3,97.0,1.8,78.6
9.0,65.1,0.1,1764.97387,0.677,12.3,98.0,1.8,78.2
93.0,64.5,0.1,1764.97387,0.677,12.3,99.0,1.8,78.0
97.0,64.0,0.1,1764.97387,0.677,12.3,99.0,1.9,77.8
99.0,63.6,0.1,1764.97387,0.677,12.3,99.0,1.9,77.5
12.0,63.1,0.1,1764.97387,0.677,12.3,99.0,1.9,77.1
16.0,62.6,0.1,1764.97387,0.677,12.3,99.0,1.9,77.0
17.0,62.2,0.1,1764.97387,0.677,12.3,99.0,2.0,76.8
19.0,61.8,0.1,1764.97387,0.677,12.3,98.0,2.0,76.5
114.0,61.3,0.1,1764.97387,0.677,12.3,97.0,2.1,75.9
116.0,6.8,0.1,1764.97387,0.677,12.3,98.0,2.1,75.8
122.0,6.4,0.1,1764.97387,0.677,12.3,97.0,2.2,75.2
12.0,59.9,0.1,1764.97387,0.677,12.3,98.0,2.2,75.3
123.0,59.4,0.1,1764.97387,0.677,12.3,98.0,2.2,75.1
126.0,59.0,0.1,1764.97387,0.677,12.3,98.0,2.3,74.7
139.0,32.9,0.1,1764.97387,0.677,12.3,96.0,4.9,76.0
142.0,32.4,0.1,1764.97387,0.677,12.3,93.0,4.9,73.0
146.0,31.8,0.1,1764.97387,0.677,12.3,93.0,5.0,71.0
149.0,31.3,0.1,1764.97387,0.677,12.3,96.0,5.1,69.8
153.0,3.8,0.1,1764.97387,0.677,12.3,94.0,5.1,69.4
157.0,3.3,0.1,1764.97387,0.677,12.3,93.0,5.2,69.0
161.0,29.7,0.1,1764.97387,0.677,12.3,93.0,5.3,68.7
164.0,29.2,0.1,1764.97387,0.677,12.3,92.0,5.4,68.6
166.0,28.7,0.1,1764.97387,0.677,12.3,92.0,5.5,68.5
165.0,28.2,0.1,1764.97387,0.677,12.3,89.0,5.6,68.5
165.0,27.7,0.1,1764.97387,0.677,12.3,79.0,5.7,68.5
165.0,27.2,0.1,1764.97387,0.677,12.3,72.0,5.7,68.4
165.0,26.7,0.1,1764.97387,0.677,12.3,68.0,5.8,68.1
167.0,26.2,0.1,1764.97387,0.677,12.3,64.0,5.9,67.6
177.0,25.7,0.1,1764.97387,0.677,12.3,62.0,5.9,66.6
192.0,25.2,0.1,1764.97387,0.677,12.3,56.0,6.0,65.4
258.0,21.6,1.1,1764.97387,0.677,12.3,81.0,9.5,59.8
266.0,21.1,1.1,1764.97387,0.677,12.3,8.0,9.7,59.3
272.0,2.6,1.2,1764.97387,0.677,12.3,74.0,9.9,58.8
277.0,2.1,1.5,1764.97387,0.677,12.3,75.0,1.0,58.3
278.0,19.6,1.6,1764.97387,0.677,12.3,74.0,1.2,57.9
283.0,19.1,1.6,1764.97387,0.677,12.3,6.0,1.4,57.4
292.0,18.6,1.7,1764.97387,0.677,12.3,72.0,1.6,56.7
295.0,18.2,1.8,1764.97387,0.677,12.3,65.0,1.8,56.3
299.0,17.8,1.9,1764.97387,0.677,12.3,7.0,11.1,55.7
36.0,17.3,2.0,1764.97387,0.677,12.3,62.0,11.3,55.0
314.0,16.9,2.0,1764.97387,0.677,12.3,6.0,11.5,54.3
323.0,16.5,2.1,1764.97387,0.677,12.3,54.0,11.7,53.5
332.0,16.1,2.2,1764.97387,0.677,12.3,41.0,11.9,52.8
341.0,15.7,2.4,1764.97387,0.677,12.3,38.0,12.1,52.1
34.0,15.3,2.4,1764.97387,0.677,12.3,3.0,12.2,51.8
346.0,14.9,2.5,1764.97387,0.677,12.3,4.0,12.4,51.3
